descricao,preco,modelo,marca,rating,url
        SAMSUNG Chromebook Intel Dual-Core XE310XBA-KT2BR       ,"R$2.049,90",,SAMSUNG,"4,7 de 5 estrelas",https://www.amazon.com.br//SAMSUNG-Chromebook-Intel-Dual-Core-XE310XBA-KT2BR/dp/B08LW38YGT/ref=sr_1_48?qid=1639236229&s=computers&sr=1-48&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"        Notebook Gamer Legion 5i i7-10750H 16GB 1TB 128GB SSD RTX2060 6GB W10 15.6"" Full HD WVA 82CF0004BR       ","R$8.809,22",82CF0004BR,Lenovo,"4,2 de 5 estrelas",https://www.amazon.com.br//Notebook-Legion-i7-10750H-RTX2060-82CF0004BR/dp/B08NXKWSQJ/ref=sr_1_49?qid=1639236294&s=computers&sr=1-49&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"        Notebook Acer Aspire 5 A515-56-327T Intel Core i3-1115G4 4GB 256GB SSD M.2 15,6"" Full HD Windows 10 Home, Cinza       ","R$3.163,05",A515-56-327T,ACER,"5,0 de 5 estrelas",https://www.amazon.com.br//Notebook-Aspire-A515-56-327T-i3-1115G4-Windows/dp/B09CLNM9M6/ref=sr_1_50?qid=1639236294&s=computers&sr=1-50&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"        Notebook Dell Inspiron i3501-U10P 15.6"" HD 11ª Geração Intel Pentium Gold 4GB 128GB SSD Linux Preto       ","R$3.149,00",,Dell,"4,8 de 5 estrelas",https://www.amazon.com.br//Notebook-Dell-Inspiron-i3501-U10P-Gera%C3%A7%C3%A3o/dp/B09477BY1J/ref=sr_1_51?qid=1639236294&s=computers&sr=1-51&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
        Notebook Intel Pentium 4 GB 120GB Compaq CQ25 Tela14'' Windows 10 Cinza       ,"R$1.762,32",CQ25,Compaq,"3,6 de 5 estrelas",https://www.amazon.com.br//Notebook-Pentium-Compaq-Tela14-Windows/dp/B08DXRV78N/ref=sr_1_52?qid=1639236294&s=computers&sr=1-52&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"        Apple MacBook Air 13.3"" with Retina Display, M1 Chip with 8-Core CPU and 8-Core GPU, 16GB Memory, 512GB SSD, Space Gray, Late 2020       ","R$14.375,00",MacBookAir,Apple,"4,0 de 5 estrelas",https://www.amazon.com.br//Apple-MacBook-Air-Retina-Display/dp/B08YCXXJFV/ref=sr_1_53?qid=1639236294&s=computers&sr=1-53&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"        Macbook Air Apple MQD32 Intel Core i5 13,3 1.8GHz 8GB SSD 128GB       ","R$6.424,09",MQD32LL/A,Apple,"4,7 de 5 estrelas",https://www.amazon.com.br//Macbook-Apple-MQD32-Intel-1-8GHz/dp/B07211W6X2/ref=sr_1_54?qid=1639236294&s=computers&sr=1-54&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"        MacBook Air 13.3"" Laptop - Apple M1 chip - 8GB Memory - 512GB SSD - Silver (Prata)       ","R$9.799,60",MGNA3LL/A,Apple,"4,7 de 5 estrelas",https://www.amazon.com.br//MacBook-Air-13-3-Laptop-Memory/dp/B08N5R2GQW/ref=sr_1_55?qid=1639236294&s=computers&sr=1-55&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"        Oculus Quest 2 — Vídeo de 256 GB — Fone de ouvido branco de realidade virtual All-in-One — Som cinemático 3D — para entretenimento em jogos VR — Cabo USB de conexão tipo C de 4,6 m       ","R$3.948,97",2,Oculus,,https://www.amazon.com.br//Oculus-Quest-All-One-entretenimento/dp/B09FPKDJCP/ref=sr_1_56?qid=1639236294&s=computers&sr=1-56&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
        Gran Turismo 7 Edição Padrão - PlayStation 5       ,"R$290,31",,,,https://www.amazon.com.br//Gran-Turismo-Edi%C3%A7%C3%A3o-Padr%C3%A3o-PlayStation/dp/B09C4T66X3/ref=sr_1_57?qid=1639236294&s=computers&sr=1-57
"        Notebook Dell Inspiron i3501-M10P 15.6"" HD 11ª Geração Intel Pentium Gold 4GB 128GB SSD Windows 10 Preto       ","R$3.299,00",,Dell,"4,0 de 5 estrelas",https://www.amazon.com.br//Notebook-Dell-Inspiron-i3501-M10P-Gera%C3%A7%C3%A3o/dp/B09475SS4Y/ref=sr_1_58?qid=1639236294&s=computers&sr=1-58&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"        MacBook Pro (de 13 polegadas, Processador M1 da Apple com CPU 8‑core e GPU 8‑core, 8 GB RAM, 256 GB) - Prateado       ","R$10.310,00",MYDA2BZ/A,Apple,"4,7 de 5 estrelas",https://www.amazon.com.br//Apple-MacBook-Pro-Chip-256GB/dp/B08R3WWHYG/ref=sr_1_59?qid=1639236294&s=computers&sr=1-59&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"        Notebook Ultra Intel Core I3 4GB 1TB HDD Windows 10 Home 14,1"" Prata - UB421       ","R$2.496,78",UB421,Ultra,"5,0 de 5 estrelas",https://www.amazon.com.br//Notebook-Ultra-Intel-Windows-Prata/dp/B0923FD515/ref=sr_1_60?qid=1639236294&s=computers&sr=1-60&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
        Notebook ASUS E510MA-BR352R INTEL CELERON DUAL CORE N4020 / 4 GB / 128 GB EMMC / Windows 10 Pro / Blue       ,"R$2.399,00",E510MA-BR352R,ASUS,"4,5 de 5 estrelas",https://www.amazon.com.br//Notebook-ASUS-E510MA-BR352R-CELERON-Windows/dp/B09BBK8F4Z/ref=sr_1_61?qid=1639236294&s=computers&sr=1-61&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
