preco,descricao,url,marca,modelo,rating
"R$ 2.589,90","Notebook Samsung Flash F30, Intel Celeron N4000, 4GB, SSD 64GB, Windows 10 Home, 13.3´, Grafite - NP530XBB-AD1BR",https://www.kabum.com.br/produto/102288/notebook-samsung-flash-f30-intel-celeron-n4000-4gb-ssd-64gb-windows-10-home-13-3-grafite-np530xbb-ad1br,Samsung,NP530XBB-AD1BR,
"R$ 2.729,90","Notebook Samsung Galaxy Book Go Snapdragon 7C, 4GB, 128GB SSD, Windows 10 Home, 14, Prata - NP340XLA-K03BR",https://www.kabum.com.br/produto/222352/notebook-samsung-galaxy-book-go-snapdragon-7c-4gb-128gb-ssd-windows-10-home-14-prata-np340xla-k03br,,,
"R$ 2.199,90","Notebook Positivo Motion Gray C4128E Intel Celeron N3350, RAM 4GB, SSD 128GB, 14.1´ HD , Windows 10 Home, Cinza - 3001761",https://www.kabum.com.br/produto/157780/notebook-positivo-motion-gray-c4128e-intel-celeron-n3350-ram-4gb-ssd-128gb-14-1-hd-windows-10-home-cinza-3001761,Positivo,3001761,
"R$ 3.199,90","Notebook Acer Intel Core i3 1005G1, 4GB, SSD 256GB, Windows 10 Home, 15.6, Full HD, Ultrafino, Cinza Escuro - A315-56-356Y",https://www.kabum.com.br/produto/255429/notebook-acer-intel-core-i3-1005g1-4gb-ssd-256gb-windows-10-home-15-6-full-hd-ultrafino-cinza-escuro-a315-56-356y,Acer,A315-56-356Y,
"R$ 11.999,90","Notebook Asus ZenBook Duo Intel Core i7 1165G7, 16GB, 512GB SSD, Iris Xe, 14' FHD Touchscreen, Windows 10 Home  - UX482EA-KA214T",https://www.kabum.com.br/produto/247818/notebook-asus-zenbook-duo-intel-core-i7-1165g7-16gb-512gb-ssd-iris-xe-14-fhd-touchscreen-windows-10-home-ux482ea-ka214t,ASUS,UX482EA-KA214T,
"R$ 5.689,90","Notebook ASUS VivoBook X513EP-EJ232 Intel Core I7 1165G7, NVIDIA GeForce MX330, 8GB RAM, 256GB SSD, Endless OS, Preto - 90NB0SJ4-M04370",https://www.kabum.com.br/produto/155589/notebook-asus-vivobook-x513ep-ej232-intel-core-i7-1165g7-nvidia-geforce-mx330-8gb-ram-256gb-ssd-endless-os-preto-90nb0sj4-m04370,ASUS,X513EP-EJ232,
"R$ 4.109,90","Notebook Acer Intel Core i5 10210U, 8GB, SSD 256GB, Windows 10 Home, 15.6, Full HD, Ultrafino, Preto - A515-54-53VN",https://www.kabum.com.br/produto/255430/notebook-acer-intel-core-i5-10210u-8gb-ssd-256gb-windows-10-home-15-6-full-hd-ultrafino-preto-a515-54-53vn,Acer,NX.AX0AL.005,
"R$ 1.959,90","Notebook Positivo Motion C41128Ei Intel Celeron N4020, 4GB, 128GB SSD, Linux, 14 Full HD, Cinza - 3001930",https://www.kabum.com.br/produto/196060/notebook-positivo-motion-c41128ei-intel-celeron-n4020-4gb-128gb-ssd-linux-14-full-hd-cinza-3001930,Positivo,3001930,
"R$ 3.999,90","Notebook Lenovo BS145 Intel Core i5-1035G1, 4GB, 1TB HD, 15.6´ Anti Reflexo, Windows 10 Pro, Preto Granito - 82HB000NBR",https://www.kabum.com.br/produto/133522/notebook-lenovo-bs145-intel-core-i5-1035g1-4gb-1tb-hd-15-6-anti-reflexo-windows-10-pro-preto-granito-82hb000nbr,Lenovo,82HB000NBR,
"R$ 6.299,90","Notebook LG Gram Intel Core i5-1035G7, 8GB, 256GB SSD M.2 NVMe, 14´ IPS FHD, Windows 10 Home, Cinza Escuro - 14Z90N-V.BR51P2",https://www.kabum.com.br/produto/158490/notebook-lg-gram-intel-core-i5-1035g7-8gb-256gb-ssd-m-2-nvme-14-ips-fhd-windows-10-home-cinza-escuro-14z90n-v-br51p2,LG,14Z90N-V.BR51P1,5.0
